# Lambda(nm)	EQE (%)
300	0
305	0
310	0
315	0
320	0
325	0
330	0
335	0
340	0
345	0
350	0
355	0
360	0
365	0
370	0
375	0
380	0
385	0
390	0
395	0
400	1.38
405	1.47
410	1.43
415	1.49
420	1.55
425	1.56
430	1.54
435	1.56
440	1.4
445	1.31
450	1.21
455	1.08
460	0.9
465	0
470	0.76
475	0
480	0
485	0
490	0
495	0
500	0
505	0
510	0
515	0
520	0
525	0
530	0
535	0
540	0
545	0
550	0
555	0
560	1
565	1.04
570	1.39
575	1.68
580	2.13
585	2.37
590	2.6
595	2.72
600	2.86
605	2.88
610	3.04
615	3.44
620	4.24
625	5.51
630	7.48
635	9.76
640	11.87
645	13.74
650	15.16
655	16.19
660	16.67
665	16.79
670	16.66
675	16.35
680	16
685	15.67
690	15.34
695	15.08
700	14.91
705	14.66
710	14.36
715	14.72
720	14.68
725	14.53
730	14.17
735	13.99
740	13.61
745	13.03
750	12.32
755	11.04
760	10.37
765	9
770	8.29
775	7.02
780	5.66
785	4.34
790	3.38
795	2.23
800	0
805	0
810	0
815	0
820	0
825	0
830	0
835	0
840	0
845	0
850	0
855	0
860	0
865	0
870	0
875	0
880	0
885	0
890	0
895	0
900	0
905	0
910	0
915	0
920	0
925	0
930	0
935	0
940	0
945	0
950	0
955	0
960	0
965	0
970	0
975	0
980	0
985	0
990	0
995	0
1000	0
1005	0
1010	0
1015	0
1020	0
1025	0
1030	0
1035	0
1040	0
1045	0
1050	0
1055	0
1060	0
1065	0
1070	0
1075	0
1080	0
1085	0
1090	0
1095	0
1100	0
