# voltage   KP115-IDTBR_filtered_P3HT_light__3.dat	P3HT_PCBM_light__5.dat
-1.00E+00	-7.63E+00
-9.50E-01	-7.61E+00
-9.00E-01	-7.58E+00
-8.50E-01	-7.55E+00
-8.00E-01	-7.52E+00
-7.50E-01	-7.49E+00
-7.00E-01	-7.46E+00
-6.50E-01	-7.42E+00
-6.00E-01	-7.39E+00
-5.50E-01	-7.36E+00
-5.00E-01	-7.31E+00
-4.50E-01	-7.27E+00
-4.00E-01	-7.23E+00
-3.50E-01	-7.18E+00
-3.00E-01	-7.14E+00
-2.50E-01	-7.09E+00
-2.00E-01	-7.04E+00
-1.50E-01	-6.98E+00
-1.00E-01	-6.91E+00
-5.00E-02	-6.84E+00
-1.00E-06	-6.77E+00
5.00E-02	-6.69E+00
1.00E-01	-6.60E+00
1.50E-01	-6.51E+00
2.00E-01	-6.40E+00
2.50E-01	-6.28E+00
3.00E-01	-6.15E+00
3.50E-01	-6.02E+00
4.00E-01	-5.86E+00
4.50E-01	-5.69E+00
5.00E-01	-5.50E+00
5.50E-01	-5.29E+00
6.00E-01	-5.05E+00
6.50E-01	-4.79E+00
7.00E-01	-4.48E+00
7.50E-01	-4.10E+00
8.00E-01	-3.61E+00
8.50E-01	-2.93E+00
9.00E-01	-1.90E+00
9.50E-01	-3.67E-01
1.00E+00	1.72E+00
